sku,field,change,original_value,new_value
SK-1384,product_name,standardised casing/spacing,Steel Desk Organiser,Steel Desk Organiser
SK-1384,category,matched to fixed category list,DESK,Desk
SK-1384,price,"currency symbol removed, 2dp",$16.40,16.40
SK-1392,product_name,standardised casing/spacing,Steel Desk Organiser,Steel Desk Organiser
SK-1392,category,matched to fixed category list,desk acc.,Desk
SK-1392,price,"currency symbol removed, 2dp",$9.57,9.57
SK-1400,product_name,standardised casing/spacing,Copier Paper Legal 70gsm,Copier Paper Legal 70gsm
SK-1400,category,matched to fixed category list,Paper and Office,Paper & Office
SK-1408,product_name,standardised casing/spacing,BLUE LEVER ARCH FILE FOOLSCAP,Blue Lever Arch File Foolscap
SK-1408,category,matched to fixed category list,FILING,Filing
SK-1416,product_name,standardised casing/spacing,blue lever arch file a4,Blue Lever Arch File A4
SK-1416,category,matched to fixed category list,Filing/Storage,Filing
SK-1416,price,"currency symbol removed, 2dp",$61.88,61.88
SK-1424,category,matched to fixed category list,writing,Writing
SK-1424,price,"currency symbol removed, 2dp",$66.74,66.74
SK-1432,product_name,standardised casing/spacing,grey lever arch file a4,Grey Lever Arch File A4
SK-1432,category,matched to fixed category list,filing,Filing
SK-1432,price,"currency symbol removed, 2dp",$79.37,79.37
SK-1440,product_name,standardised casing/spacing,Black  Lever  Arch  File  Foolscap,Black Lever Arch File Foolscap
SK-1440,category,matched to fixed category list,Filing/Storage,Filing
SK-1448,category,matched to fixed category list,Paper and Office,Paper & Office
SK-1456,product_name,standardised casing/spacing,"Green  Ballpoint,  Medium","Green Ballpoint, Medium"
SK-1456,category,matched to fixed category list,WRITING,Writing
SK-1456,price,"currency symbol removed, 2dp",$48.66,48.66
SK-1464,category,matched to fixed category list,Writing,Writing
SK-1472,category,matched to fixed category list,Paper and Office,Paper & Office
SK-1472,price,"currency symbol removed, 2dp",$61.17,61.17
SK-1480,category,matched to fixed category list,desk,Desk
SK-1488,category,matched to fixed category list,desk acc.,Desk
SK-1496,category,matched to fixed category list,Paper and Office,Paper & Office
SK-1504,category,matched to fixed category list,WRITING,Writing
SK-1512,product_name,standardised casing/spacing,Mesh Desk Organiser,Mesh Desk Organiser
SK-1512,category,matched to fixed category list,DESK,Desk
SK-1512,price,"currency symbol removed, 2dp",$42.41,42.41
SK-1520,product_name,standardised casing/spacing,"blue ballpoint, medium","Blue Ballpoint, Medium"
SK-1520,category,matched to fixed category list,Writing,Writing
SK-1528,product_name,standardised casing/spacing,MESH DESK ORGANISER,Mesh Desk Organiser
SK-1528,category,matched to fixed category list,desk,Desk
SK-1536,category,matched to fixed category list,Paper/Office,Paper & Office
SK-1536,price,"currency symbol removed, 2dp",$57.48,57.48
SK-1544,category,matched to fixed category list,paper & office,Paper & Office
SK-1552,category,matched to fixed category list,Filing/Storage,Filing
SK-1560,product_name,standardised casing/spacing,"Red  Ballpoint,  Broad","Red Ballpoint, Broad"
SK-1560,category,matched to fixed category list,writing tools,Writing
SK-1568,product_name,standardised casing/spacing,"blue ballpoint, medium","Blue Ballpoint, Medium"
SK-1568,category,matched to fixed category list,writing tools,Writing
SK-1568,price,"currency symbol removed, 2dp",5.1,5.10
SK-1576,product_name,standardised casing/spacing,Black  Lever  Arch  File  Foolscap,Black Lever Arch File Foolscap
SK-1576,category,matched to fixed category list,FILING,Filing
SK-1584,category,matched to fixed category list,desk acc.,Desk
SK-1584,price,"currency symbol removed, 2dp",$19.37,19.37
SK-1592,product_name,standardised casing/spacing,grey lever arch file a4,Grey Lever Arch File A4
SK-1592,category,matched to fixed category list,Filing/Storage,Filing
SK-1600,product_name,standardised casing/spacing,Black Lever Arch File Foolscap,Black Lever Arch File Foolscap
SK-1600,category,matched to fixed category list,FILING,Filing
SK-1608,product_name,standardised casing/spacing,Copier Paper A3 70gsm,Copier Paper A3 70gsm
SK-1608,category,matched to fixed category list,paper & office,Paper & Office
SK-1608,price,"currency symbol removed, 2dp",$42.00,42.00
SK-1616,product_name,standardised casing/spacing,green lever arch file foolscap,Green Lever Arch File Foolscap
SK-1616,category,matched to fixed category list,filing,Filing
SK-1624,category,matched to fixed category list,FILING,Filing
SK-1624,price,"currency symbol removed, 2dp",$67.63,67.63
SK-1632,product_name,standardised casing/spacing,"Black Ballpoint, Medium","Black Ballpoint, Medium"
SK-1632,category,matched to fixed category list,writing,Writing
SK-1640,product_name,standardised casing/spacing,blue lever arch file foolscap,Blue Lever Arch File Foolscap
SK-1640,category,matched to fixed category list,filing,Filing
SK-1648,product_name,standardised casing/spacing,copier paper letter 100gsm,Copier Paper Letter 100gsm
SK-1648,category,matched to fixed category list,Paper and Office,Paper & Office
SK-1656,category,matched to fixed category list,DESK,Desk
SK-1664,product_name,standardised casing/spacing,wooden desk organiser,Wooden Desk Organiser
SK-1664,category,matched to fixed category list,desk,Desk
SK-1672,product_name,standardised casing/spacing,"blue ballpoint, broad","Blue Ballpoint, Broad"
SK-1672,category,matched to fixed category list,writing tools,Writing
SK-1680,product_name,standardised casing/spacing,GREEN LEVER ARCH FILE FOOLSCAP,Green Lever Arch File Foolscap
SK-1680,category,matched to fixed category list,filing & storage,Filing
SK-1688,category,matched to fixed category list,DESK,Desk
SK-1696,product_name,standardised casing/spacing,STEEL DESK ORGANISER,Steel Desk Organiser
SK-1696,category,matched to fixed category list,Desk Accessories,Desk
SK-1696,price,"currency symbol removed, 2dp",$45.94,45.94
SK-1704,category,matched to fixed category list,Paper/Office,Paper & Office
SK-1712,product_name,standardised casing/spacing,"GREEN BALLPOINT, FINE","Green Ballpoint, Fine"
SK-1712,category,matched to fixed category list,WRITING,Writing
SK-1720,category,matched to fixed category list,desk,Desk
SK-1728,product_name,standardised casing/spacing,Black  Lever  Arch  File  Foolscap,Black Lever Arch File Foolscap
SK-1728,category,matched to fixed category list,filing,Filing
SK-1728,price,"currency symbol removed, 2dp",$29.75,29.75
SK-1736,category,matched to fixed category list,Writing,Writing
SK-1736,price,"currency symbol removed, 2dp",$88.47,88.47
SK-1744,product_name,standardised casing/spacing,COPIER PAPER LETTER 120GSM,Copier Paper Letter 120gsm
SK-1744,category,matched to fixed category list,Paper and Office,Paper & Office
SK-1752,product_name,standardised casing/spacing,Copier  Paper  A4  80gsm,Copier Paper A4 80gsm
SK-1752,category,matched to fixed category list,paper & office,Paper & Office
SK-1752,price,"currency symbol removed, 2dp",$30.73,30.73
SK-1760,product_name,standardised casing/spacing,Steel  Desk  Organiser,Steel Desk Organiser
SK-1760,category,matched to fixed category list,desk,Desk
SK-1768,product_name,standardised casing/spacing,"black ballpoint, fine","Black Ballpoint, Fine"
SK-1768,category,matched to fixed category list,writing tools,Writing
SK-1768,price,"currency symbol removed, 2dp",$79.87,79.87
SK-1776,product_name,standardised casing/spacing,GREY LEVER ARCH FILE A4,Grey Lever Arch File A4
SK-1776,category,matched to fixed category list,Filing/Storage,Filing
SK-1776,price,"currency symbol removed, 2dp",$39.27,39.27
SK-1784,product_name,standardised casing/spacing,grey lever arch file foolscap,Grey Lever Arch File Foolscap
SK-1784,category,matched to fixed category list,filing,Filing
SK-1792,category,matched to fixed category list,desk acc.,Desk
SK-1792,price,"currency symbol removed, 2dp",$22.40,22.40
SK-1800,product_name,standardised casing/spacing,copier paper a5 80gsm,Copier Paper A5 80gsm
SK-1800,category,matched to fixed category list,Paper/Office,Paper & Office
SK-1808,product_name,standardised casing/spacing,"Green Ballpoint, Fine","Green Ballpoint, Fine"
SK-1808,category,matched to fixed category list,writing tools,Writing
SK-1816,category,matched to fixed category list,filing & storage,Filing
SK-1824,product_name,standardised casing/spacing,Green Lever Arch File A4,Green Lever Arch File A4
SK-1824,category,matched to fixed category list,FILING,Filing
SK-1832,product_name,standardised casing/spacing,Copier Paper Letter 100gsm,Copier Paper Letter 100gsm
SK-1832,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-1840,product_name,standardised casing/spacing,"Black Ballpoint, Fine","Black Ballpoint, Fine"
SK-1840,category,matched to fixed category list,Writing,Writing
SK-1848,category,matched to fixed category list,Paper/Office,Paper & Office
SK-1856,product_name,standardised casing/spacing,copier paper a3 80gsm,Copier Paper A3 80gsm
SK-1856,category,matched to fixed category list,Paper and Office,Paper & Office
SK-1856,price,"currency symbol removed, 2dp",$88.26,88.26
SK-1864,product_name,standardised casing/spacing,"Green  Ballpoint,  Broad","Green Ballpoint, Broad"
SK-1864,category,matched to fixed category list,Writing,Writing
SK-1872,product_name,standardised casing/spacing,Copier Paper A4 80gsm,Copier Paper A4 80gsm
SK-1872,category,matched to fixed category list,Paper and Office,Paper & Office
SK-1872,price,"currency symbol removed, 2dp",$13.73,13.73
SK-1880,product_name,standardised casing/spacing,"Red  Ballpoint,  Broad","Red Ballpoint, Broad"
SK-1880,category,matched to fixed category list,writing,Writing
SK-1888,product_name,standardised casing/spacing,"black ballpoint, fine","Black Ballpoint, Fine"
SK-1888,category,matched to fixed category list,Writing,Writing
SK-1896,category,matched to fixed category list,filing & storage,Filing
SK-1904,product_name,standardised casing/spacing,Black Lever Arch File Foolscap,Black Lever Arch File Foolscap
SK-1904,category,matched to fixed category list,Filing/Storage,Filing
SK-1912,category,matched to fixed category list,filing & storage,Filing
SK-1920,product_name,standardised casing/spacing,Copier  Paper  A3  120gsm,Copier Paper A3 120gsm
SK-1920,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-1928,product_name,standardised casing/spacing,"Red  Ballpoint,  Fine","Red Ballpoint, Fine"
SK-1928,category,matched to fixed category list,writing tools,Writing
SK-1928,price,"currency symbol removed, 2dp",$19.30,19.30
SK-1936,category,matched to fixed category list,filing & storage,Filing
SK-1936,price,"currency symbol removed, 2dp",$67.12,67.12
SK-1944,category,matched to fixed category list,filing & storage,Filing
SK-1952,category,matched to fixed category list,DESK,Desk
SK-1952,price,"currency symbol removed, 2dp",$60.34,60.34
SK-1960,category,matched to fixed category list,Paper/Office,Paper & Office
SK-1968,product_name,standardised casing/spacing,Grey Lever Arch File Foolscap,Grey Lever Arch File Foolscap
SK-1968,category,matched to fixed category list,Filing/Storage,Filing
SK-1976,product_name,standardised casing/spacing,wooden desk organiser,Wooden Desk Organiser
SK-1976,category,matched to fixed category list,desk acc.,Desk
SK-1984,product_name,standardised casing/spacing,WOODEN DESK ORGANISER,Wooden Desk Organiser
SK-1984,category,matched to fixed category list,Desk Accessories,Desk
SK-1992,product_name,standardised casing/spacing,"Black  Ballpoint,  Medium","Black Ballpoint, Medium"
SK-1992,category,matched to fixed category list,WRITING,Writing
SK-1992,price,"currency symbol removed, 2dp",$68.77,68.77
SK-2000,product_name,standardised casing/spacing,Wooden Desk Organiser,Wooden Desk Organiser
SK-2000,category,matched to fixed category list,Desk Accessories,Desk
SK-2008,category,matched to fixed category list,Writing,Writing
SK-2016,product_name,standardised casing/spacing,GREEN LEVER ARCH FILE FOOLSCAP,Green Lever Arch File Foolscap
SK-2016,category,matched to fixed category list,filing & storage,Filing
SK-2016,price,"currency symbol removed, 2dp",$87.84,87.84
SK-2024,product_name,standardised casing/spacing,wooden desk organiser,Wooden Desk Organiser
SK-2024,category,matched to fixed category list,desk,Desk
SK-2024,price,"currency symbol removed, 2dp",35.6,35.60
SK-2032,product_name,standardised casing/spacing,Steel Desk Organiser,Steel Desk Organiser
SK-2032,category,matched to fixed category list,DESK,Desk
SK-2040,product_name,standardised casing/spacing,Copier  Paper  Letter  70gsm,Copier Paper Letter 70gsm
SK-2040,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-2048,product_name,standardised casing/spacing,"BLUE BALLPOINT, MEDIUM","Blue Ballpoint, Medium"
SK-2048,category,matched to fixed category list,writing,Writing
SK-2048,price,"currency symbol removed, 2dp",$82.64,82.64
SK-2056,product_name,standardised casing/spacing,ACRYLIC DESK ORGANISER,Acrylic Desk Organiser
SK-2056,category,matched to fixed category list,desk acc.,Desk
SK-2064,category,matched to fixed category list,Desk Accessories,Desk
SK-2072,category,matched to fixed category list,writing tools,Writing
SK-2080,product_name,standardised casing/spacing,Grey  Lever  Arch  File  A4,Grey Lever Arch File A4
SK-2080,category,matched to fixed category list,filing & storage,Filing
SK-2088,category,matched to fixed category list,DESK,Desk
SK-2096,product_name,standardised casing/spacing,mesh desk organiser,Mesh Desk Organiser
SK-2096,category,matched to fixed category list,desk acc.,Desk
SK-2104,product_name,standardised casing/spacing,Wooden  Desk  Organiser,Wooden Desk Organiser
SK-2104,category,matched to fixed category list,desk,Desk
SK-2112,product_name,standardised casing/spacing,COPIER PAPER A3 80GSM,Copier Paper A3 80gsm
SK-2112,category,matched to fixed category list,Paper/Office,Paper & Office
SK-2112,price,"currency symbol removed, 2dp",$63.89,63.89
SK-2120,product_name,standardised casing/spacing,"green ballpoint, medium","Green Ballpoint, Medium"
SK-2120,category,matched to fixed category list,writing tools,Writing
SK-2120,price,"currency symbol removed, 2dp",$66.87,66.87
SK-2128,product_name,standardised casing/spacing,Copier Paper A4 100gsm,Copier Paper A4 100gsm
SK-2128,category,matched to fixed category list,Paper/Office,Paper & Office
SK-2128,price,"currency symbol removed, 2dp",$25.34,25.34
SK-2136,product_name,standardised casing/spacing,ACRYLIC DESK ORGANISER,Acrylic Desk Organiser
SK-2136,category,matched to fixed category list,desk acc.,Desk
SK-2144,category,matched to fixed category list,Writing,Writing
SK-2144,price,"currency symbol removed, 2dp",$22.96,22.96
SK-2152,product_name,standardised casing/spacing,Black Lever Arch File A4,Black Lever Arch File A4
SK-2152,category,matched to fixed category list,filing,Filing
SK-2160,product_name,standardised casing/spacing,Copier Paper A3 80gsm,Copier Paper A3 80gsm
SK-2160,category,matched to fixed category list,paper&office,Paper & Office
SK-2168,category,matched to fixed category list,WRITING,Writing
SK-2176,product_name,standardised casing/spacing,Green  Lever  Arch  File  A4,Green Lever Arch File A4
SK-2176,category,matched to fixed category list,filing & storage,Filing
SK-2184,category,matched to fixed category list,filing,Filing
SK-2192,category,matched to fixed category list,Writing,Writing
SK-2200,product_name,standardised casing/spacing,blue lever arch file a4,Blue Lever Arch File A4
SK-2200,category,matched to fixed category list,FILING,Filing
SK-2200,price,"currency symbol removed, 2dp",$28.66,28.66
SK-2208,product_name,standardised casing/spacing,Acrylic  Desk  Organiser,Acrylic Desk Organiser
SK-2208,category,matched to fixed category list,desk acc.,Desk
SK-2216,category,matched to fixed category list,filing,Filing
SK-2216,price,"currency symbol removed, 2dp",$22.49,22.49
SK-2224,product_name,standardised casing/spacing,BLACK LEVER ARCH FILE FOOLSCAP,Black Lever Arch File Foolscap
SK-2224,category,matched to fixed category list,Filing/Storage,Filing
SK-2224,price,"currency symbol removed, 2dp",$31.71,31.71
SK-2232,product_name,standardised casing/spacing,"green ballpoint, fine","Green Ballpoint, Fine"
SK-2232,category,matched to fixed category list,Writing,Writing
SK-2240,product_name,standardised casing/spacing,Copier  Paper  A4  120gsm,Copier Paper A4 120gsm
SK-2240,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-2248,category,matched to fixed category list,Filing/Storage,Filing
SK-2256,category,matched to fixed category list,Desk Accessories,Desk
SK-2264,category,matched to fixed category list,Writing,Writing
SK-2264,price,"currency symbol removed, 2dp",$81.28,81.28
SK-2272,category,matched to fixed category list,FILING,Filing
SK-2280,product_name,standardised casing/spacing,BLUE LEVER ARCH FILE A4,Blue Lever Arch File A4
SK-2280,category,matched to fixed category list,filing & storage,Filing
SK-2280,price,"currency symbol removed, 2dp",$9.77,9.77
SK-2288,product_name,standardised casing/spacing,Acrylic Desk Organiser,Acrylic Desk Organiser
SK-2288,category,matched to fixed category list,desk,Desk
SK-2296,category,matched to fixed category list,writing tools,Writing
SK-2304,product_name,standardised casing/spacing,Grey Lever Arch File A4,Grey Lever Arch File A4
SK-2304,category,matched to fixed category list,filing & storage,Filing
SK-2304,price,"currency symbol removed, 2dp",$46.53,46.53
SK-2312,product_name,standardised casing/spacing,Copier  Paper  A3  80gsm,Copier Paper A3 80gsm
SK-2312,category,matched to fixed category list,paper&office,Paper & Office
SK-2320,product_name,standardised casing/spacing,copier paper a4 80gsm,Copier Paper A4 80gsm
SK-2320,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-2320,price,"currency symbol removed, 2dp",$60.59,60.59
SK-2328,category,matched to fixed category list,FILING,Filing
SK-2336,product_name,standardised casing/spacing,ACRYLIC DESK ORGANISER,Acrylic Desk Organiser
SK-2336,category,matched to fixed category list,Desk Accessories,Desk
SK-2344,product_name,standardised casing/spacing,Copier Paper A4 80gsm,Copier Paper A4 80gsm
SK-2344,category,matched to fixed category list,paper&office,Paper & Office
SK-2352,category,matched to fixed category list,Paper and Office,Paper & Office
SK-2360,product_name,standardised casing/spacing,"Green Ballpoint, Fine","Green Ballpoint, Fine"
SK-2360,category,matched to fixed category list,Writing,Writing
SK-2368,product_name,standardised casing/spacing,COPIER PAPER A4 70GSM,Copier Paper A4 70gsm
SK-2368,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-2376,product_name,standardised casing/spacing,black lever arch file foolscap,Black Lever Arch File Foolscap
SK-2376,category,matched to fixed category list,filing,Filing
SK-2384,product_name,standardised casing/spacing,"Green Ballpoint, Fine","Green Ballpoint, Fine"
SK-2384,category,matched to fixed category list,writing tools,Writing
SK-2392,product_name,standardised casing/spacing,"red ballpoint, medium","Red Ballpoint, Medium"
SK-2392,category,matched to fixed category list,writing tools,Writing
SK-2392,price,"currency symbol removed, 2dp",$79.47,79.47
